id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
289;Môžem požiadať o online preskúšanie v prípade, že sa nemôžem dostaviť?;Je možná skúška online?;Môžem vykonať skúšku online?;Je možné byť skúšaný z domu?;Skúška cez internet?;Po dohode s vyučujúcim je to možné.
290;Má FRI študentský senát?;Študentský senát?;Senát na fri?;Je na fri senát?;Máme na FRI senát študentov?;Áno
291;Je možné študovať na FRI aj keď mám iba výučný list?;Štúdium len s výučním listom?;Čo potrebujem na štúdium na FRI?;Je výučný list dosť na štúdium na FRI?;Stačí mi výučný list na štúdium na FRI?;Je nutné podať prihlášku, na základe ktorej budete pozvaný na prijímacie konanie, ktorého výsledok rozhodne o vašom prijatí.
292;Dá sa presmerovať študentský email na iný email?;Môžem si presmerovať študenstký email na môj mail?;Presmerovanie emailov?;Dá sa presmerovať emailová adresa?;Chcem presmerovať poštu z štud. mailu na môj.;Áno, je nutné si to nastaviť samostatne.
293;Potreboval by som potvrdenie o návšteve školy, kde ho nájdem?;Kde nájdem potvrdenie o návšteve školy?;Potvrdenie o navšteve školy?;Chcem potvrdenie o návšteve školy.;Môžem si stiahnut potvrdenie o návšteve?;Na linku: https://www.fri.uniza.sk/stranka/tlaciva-studium
294;Potreboval by som potvrdenie na rodinné prídavky, kde ho nájdem?;Kde nájdem potvrdenie na rodinné prídavky?;Potvrdenie na rodinné prídavky?;Chcem potvrdenie na rodinné prídavky.;Môžem si stiahnut potvrdenie na prídavky?;Je potrebné si poň prísť na štúdijný referát.
295;Vyučujúci mi stále nezapísal známku do vzdelávania a na moje správy neodpovedá ako mám postupovať?;Čo robiť pri nezapísaní známky?;Profesor mi neodpovedá a nemám zapísanú známku.;Potrebujem zapísať znamku ale vyučujúci mi neodpisuje.;Nemám zapísanú známku, čo robiť?;Kontaktovať profesora, ktorý známku zabudol zapísať, prípadne prodekana pre vzdelávanie.
296;Som opakujúci študent, chcel by som sa informovať o možnostiach úľav na školnom?;Aké sú možnosti úľav na školné?;Je tu možnosť zmenšenia školného?;Ak opakujem, mám nárok na úľavu školného?;Je tu možnosť zníženia školného?;Informácie nájdete na linku: https://www.uniza.sk/images/pdf/skolne-a-poplatky/2020-2021/28102020_MU-8-2019-ulava-skolneho.pdf
297;Ak som opakujúci študent a 2x som nespravil rovnaký predmet, ale chcem pokračovať musím si podávať novú prihlášku?;Čo robiť keď som už druhý krát nedal predmet?;Nedal som 2 krát predmet čo robiť?;Ak som nezvládol 2 krát predmet, čo dalej?;Nedal som 2 krát predmet, pomoc.;Musíte sa opäť prihlásiť na štúdium a zažiadať si o uznanie predmetov, ktoré ste už absolvovali.
298;Podávam si prihlášku k vám na fakukltu, je nutné posielať vytlačenú kópiu alebo stačí elektronická prihláška?;Je potrebné k e-prihláške aj fyzická kópia?;Stačí mi len e-prihláška?;Je nutná fyzická kópia ku prihláške?;Potrebujem fyzickú kópiu prihlášky poslať?;Stači poslať e-prihlášku.
299;Kto si môže požiadať o erasmus?;Ako sa prihlásiť na erazmus?;Ako sa dostaťna erazmus?;Ako poslať prihlášku na erazmus?;Ako sa dostaťna erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
300;Potrebujem vedieť aj iný jazyk ako anglicky ak chcem ísť na erasmus?;Je potrebné ovládať na erazme iný jazyk ako anglický?;Aký jazyk musím ovládať pre erazmus?;Aké jazyky musím vedieť ak chcem isť na erazmus?;Je potrebné ovládať na erazme iný jazyk ako anglický?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
301;Ak som študent 3. ročníka bc. Štúdia môžem ísť na Erasmus+ cez letné prazniny?;Dá sa ísť na erazmus počas letných prázdnin?;Môžem ísť na erazmus cez prázdniny?;Dá sa ísť na erazmus v lete?;Dá sa ísť na erazmus počas letných prázdnin?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
302;Uznajú mi predmety počas erasmu?;Ako prebieha uznávanie predmetov na erazme?;Sú mi predmety absolvované na erazme uznané?;Rátajú sa mi kredity z erazmu?;Sú mi uznané kredity z pretmetov urobených počas erazmu?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
303;Aka je výška grantu na erasmus?;Koľko dostanem z grantu na erazme?;Koľko je grant na erazme?;Koľko dostanem na erazmus?;Koľko sa platí za erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
304;Aká je maximalná dĺžka erasmu?;Ako dlho môžem byť na erazme?;Ako dlho trvá erazmus?;Dĺžka erazmu?;Ako dlho môžem byť na erazme?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
305;Kde nájdem prihlášku na erasmus+?;Kde je prihláška na erazmus?;Ako nájdem prihlášku na erazmus?;Kde sa prihlásim na erazmus?;Kde je prihláška na erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
306;Čo potrebujem okrem prihlášky na erasmus?;Aké sú pravidlá na prihlásenie na erazmus?;Čo mi treba na erazmus?;Čo je potrebné pre prihlásenie na erazmus?;Čo mi treba na erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
307;Aký je odporúčaný počet kreditov za semester počas erasmu?;Koľko kreditov by som mala dostať počas erazmu?;Aký počet kreditov sa odporúča počas erazmu?;Je odporučený počet kreditov na eramus?;Aký je odporúčaný počet kreditov za semester počas erasmu?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
308;Kedy mám ísť za vyučujúcim ak chcem uznať predmet počas erasmu?;Ako si uznať predmety za erazmus?;Ako sa uznávajú predmety za erazmus?;Postup uznania predmetov za erazmus?;Ako si uznať kredity za erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
309;Čo musím doniest vyučujúcemu ak chcem uznať predmet počas erasmu?;Čo potrebuje vyučujúci pre uznanie kreditov za erazmus?;Čo potrebuje profesor pre uznanie predmetu za erazmus?;Ako si uznať kredity za erazmus?;Čo potrebuje vyučujúci pre uznanie kreditov za erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
310;Kde nájdem žiadosť o uznanie predmetov počas erasmu?;Kde je žiadosť o uznanie kreditov za erazmus?;Ked je žiadosť o uznanie predmotov za erazmus?;Kde je tlačivo na uznanie predmetov za erazmus?;Kde je dokument na uznanie predmetov za erazmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
311;Kde všade môžem ísť na erasmus?;Miesta na ktoré môžem ísť na erasmus?;Do ktorých krajín môžem ísť na erasmus?;Ktoré školy môžem navštíviť na erasme?;Čo môžem navštíviť počas erasmu?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
312;Kde nájdem informácie o partnerských školách na erasmus?;Info o partnerských školách na erasmus?;Partnerské školy na erasmus?;Ktoré sú partnerské školy na erasme?;Na aké školy môžem ísť na erasmus?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie
313;Kedy začína akademický rok?;Začiatok akademického roka?;Dátum začiatku akademického roka?;Termín začiatku akademického roka?;Prvý deň akademického roka?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
314;Kedy je zápis do 1. ročníka bakalárskeho štúdia?;Termín zápisu pre 1. ročníka bakalárskeho štúdia?;Dátum zápisu pre 1. ročníka bakalárskeho štúdia?;Ďen zápisu pre 1. ročníka bakalárskeho štúdia?;Zápis pre 1. ročníka bakalárskeho štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
315;Kedy je zápis do 2. ročníka bakalárskeho štúdia?;Termín zápisu pre 2. ročníka bakalárskeho štúdia?;Dátum zápisu pre 2. ročníka bakalárskeho štúdia?;Ďen zápisu pre 2. ročníka bakalárskeho štúdia?;Zápis pre 2. ročníka bakalárskeho štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
316;Kedy je zápis do 3. ročníka bakalárskeho štúdia?;Termín zápisu pre 3. ročníka bakalárskeho štúdia?;Dátum zápisu pre 3. ročníka bakalárskeho štúdia?;Ďen zápisu pre 3. ročníka bakalárskeho štúdia?;Zápis pre 3. ročníka bakalárskeho štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
317;Kedy je zápis do 1. ročníka inžinierského štúdia?;Termín zápisu pre 1. ročníka inžinierského štúdia?;Dátum zápisu pre 1. ročníka inžinierského štúdia?;Ďen zápisu pre 1. ročníka inžinierského štúdia?;Zápis pre 1. ročníka inžinierského štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
318;Kedy je zápis do 2. ročníka inžinierského štúdia?;Termín zápisu pre 2. ročníka inžinierského štúdia?;Dátum zápisu pre 2. ročníka inžinierského štúdia?;Ďen zápisu pre 2. ročníka inžinierského štúdia?;Zápis pre 2. ročníka inžinierského štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
319;Kedy je zápis do 1. ročníka doktoranského štúdia?;Termín zápisu pre 1. ročníka doktoranského štúdia?;Dátum zápisu pre 1. ročníka doktoranského štúdia?;Ďen zápisu pre 1. ročníka doktoranského štúdia?;Zápis pre 1. ročníka doktoranského štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
320;Kedy je zápis do 2. ročníka doktoranského štúdia?;Termín zápisu pre 2. ročníka doktoranského štúdia?;Dátum zápisu pre 2. ročníka doktoranského štúdia?;Ďen zápisu pre 2. ročníka doktoranského štúdia?;Zápis pre 2. ročníka doktoranského štúdia?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
321;Kedy je zápis externého štúdia?;Termín zápisu pre externé?;Dátum zápisu pre externé?;Ďen zápisu pre externé štúdium?;Zápis pre externé štúdium?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
322;Kedy je začiatok vyučovania v zimnom semestri?;Dátum začiatku výučby v zimnom semestri?;Kedy je začiatku vyučby v zime?;Prvý deň výučby v zime?;Začiatok vyučby v zime?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
323;Dokedy si môžem zaregistrovať zaverečnú prácu v zimnom semestri?;Kedy sa končí registrovanie prác v zimnom semestri?;Posledný deň na registráciu práce v zimnom semestri?;Koniec registrácie prác v zimnom semestri?;Do akého termínu musím registrovať prácu v zimnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
324;Dokedy si môžem podať prihlášku na štátnu skúšku v zimnom semestri?;Kedy sa končí podavanie prihlášiek na štátnu skúšku v zimnom semestri?;Posledný deň na podanie prihlášky na štátnu skúšku v zimnom semestri?;Koniec podávanie prihlášok na štátnu skúšku v zimnom semestri?;Do akého termínu musím podať prihlášku na štátnu skúšku v zimnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
325;Kedy sa končí vyučovanie v zimnom semestry?;Dátum konca výučby v zimnom semestri?;Kedy je koniec vyučby v zime?;Posledný deň výučby v zime?;Koniec vyučby v zime?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
326;Kedy začína skúškové obdobie v zimnom semstry?;Kedy je začiatok skúškového v zime?;Začiatok skúškoveho v zimnom semestri kedy?;Zimnný semester dátum začiatok skúškoveho je?;Kedy je prvý den skúškoveho v zimnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
327;Kedy sa konajú štátne skúšky v zimnom semestry?;Dátum štátnej skúšky v zime je kedy?;Deň štátnej skúšky v zime?;Kedy bude štátna skúška v zime?;Kedy je štátna skúška v zime?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
328;Kedy končí skúškové obdobie v zimnom semstry?;Kedy je koniec skúškového v zime?;Koniec skúškoveho v zimnom semestri kedy?;Zimný semester dátum konca skúškoveho je?;Kedy je posledný den skúškoveho v zimnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
329;Kedy začína vyučovanie v letnom semestri?;Dátum začiatku výučby v letnom semestri?;Kedy je začiatku vyučby v lete?;Prvý deň výučby v lete?;Začiatok vyučby v lete?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
330;Dokedy si môžem zaregistrovať zaverečnú prácu v letnom semestri?;Kedy sa končí registrovanie prác v letnom semestri?;Posledný deň na registráciu práce v letnom semestri?;Koniec registrácie prác v letnom semestri?;Do akého termínu musím registrovať prácu v letnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
331;Dokedy si môžem podať prihlášku na štátnu skúšku v letnom semestri?;Kedy sa končí podavanie prihlášiek na štátnu skúšku v letnom semestri?;Posledný deň na podanie prihlášky na štátnu skúšku v letnom semestri?;Koniec podávanie prihlášok na štátnu skúšku v letnom semestri?;Do akého termínu musím podať prihlášku na štátnu skúšku v letnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
332;Kedy sa končí vyučovanie v letnom semestri?;Dátum konca výučby v letnom semestri?;Kedy je koniec vyučby v lete?;Posledný deň výučby v lete?;Koniec vyučby v lete?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
333;Kedy začína skúškové obdobie v letnom semestri?;Kedy je začiatok skúškového v lete?;Začiatok skúškoveho v letnom semestri kedy?;Letný semester dátum začiatok skúškoveho je?;Kedy je prvý den skúškoveho v letnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
334;Kedy sa konajú štátne skúšky v letnom semestri?;Dátum štátnej skúšky v lete je kedy?;Deň štátnej skúšky v lete?;Kedy bude štátna skúška v lete?;Kedy je štátna skúška v lete?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
335;Kedy končí skúškové obdobie v letnom semestri?;Kedy je koniec skúškového v lete?;Koniec skúškoveho v letnom semestri kedy?;Letný semester dátum konca skúškoveho je?;Kedy je posledný den skúškoveho v letnom semestri?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
336;Posledný termin na podatie prihlášky?;Kedy najneskôr môžem podať prihlášku?;Aký je posledný dátum podania prihlášky?;Do kedy je potrebné podať prihlášku?;Do kedy sapodávajú prihlášky?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
337;Začiatok výberu voliteľných a povinne voliteľných predmetov?;Kedy začína výber povinne voliteľných a voliteľných predmetov?;Kedy si môžem vybrať povinne voliteľné predmety?;Kedy je výber voliteľných predmetov?;Kedy sa začínajú vyberať povinne voliteľné a voliteľné predmety?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
338;Koniec výberu voliteľných a povinne voliteľných predmetov?;Kedy končí výber povinne voliteľných a voliteľných predmetov?;Do kedy si môžem vybrať povinne voliteľné predmety?;Do kedy je výber voliteľných predmetov?;Kedy sa koniec výberu povinne voliteľných a voliteľných predmetov?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
